tm(s),latitude(deg),logitude(deg),speed(m/s)
1701563012.16,32.870076,-117.214266,0.0
1701563012.37,32.870076,-117.214266,0.0
1701563012.56,32.870076,-117.214266,0.015433369001563915
1701563012.76,32.870076,-117.214266,0.010288912667709276
1701563012.96,32.870076,-117.214266,0.010288912667709276
1701563013.15,32.870076,-117.214265,0.005144456333854638
1701563013.24,32.870076,-117.214265,0.010288912667709276
1701563013.34,32.870076,-117.214265,0.005144456333854638
1701563013.44,32.870076,-117.214265,0.005144456333854638
1701563013.54,32.870076,-117.214265,0.005144456333854638
1701563013.64,32.870076,-117.214265,0.005144456333854638
1701563013.74,32.870076,-117.214265,0.005144456333854638
1701563013.84,32.870076,-117.214265,0.005144456333854638
1701563013.94,32.870076,-117.214265,0.005144456333854638
1701563014.04,32.870076,-117.214265,0.005144456333854638
1701563014.14,32.870076,-117.214265,0.005144456333854638
1701563014.23,32.870076,-117.214265,0.005144456333854638
1701563014.33,32.870076,-117.214265,0.005144456333854638
1701563014.43,32.870076,-117.214265,0.005144456333854638
1701563014.53,32.870076,-117.214265,0.005144456333854638
1701563014.64,32.870076,-117.214265,0.005144456333854638
1701563014.74,32.870076,-117.214265,0.005144456333854638
1701563014.86,32.870076,-117.214265,0.005144456333854638
1701563015.04,32.870076,-117.214265,0.010288912667709276
1701563015.15,32.870076,-117.214265,0.010288912667709276
1701563015.25,32.870076,-117.214263,0.010288912667709276
1701563015.35,32.870076,-117.214263,0.005144456333854638
1701563015.45,32.870076,-117.214263,0.005144456333854638
1701563015.55,32.870078,-117.214263,0.005144456333854638
1701563015.66,32.870078,-117.214263,0.005144456333854638
1701563015.85,32.870078,-117.214263,0.015433369001563915
1701563015.95,32.870078,-117.214263,0.015433369001563915
1701563016.05,32.870078,-117.214263,0.015433369001563915
1701563016.17,32.870078,-117.214263,0.015433369001563915
1701563016.37,32.870078,-117.214263,0.025722281669273192
1701563016.57,32.870078,-117.214263,0.025722281669273192
1701563016.77,32.870078,-117.214263,0.03086673800312783
1701563016.96,32.870078,-117.214263,0.025722281669273192
1701563017.16,32.87008,-117.214263,0.02057782533541855
1701563017.36,32.87008,-117.214263,0.015433369001563915
1701563017.57,32.87008,-117.214263,0.010288912667709276
1701563017.77,32.87008,-117.214263,0.010288912667709276
1701563017.97,32.87008,-117.214263,0.010288912667709276
1701563018.17,32.87008,-117.214263,0.005144456333854638
1701563018.36,32.87008,-117.214263,0.005144456333854638
1701563018.57,32.87008,-117.214263,0.005144456333854638
1701563018.76,32.87008,-117.214263,0.005144456333854638
1701563018.96,32.87008,-117.214263,0.005144456333854638
1701563019.16,32.87008,-117.214263,0.005144456333854638
1701563019.37,32.870081,-117.214263,0.010288912667709276
1701563019.57,32.870081,-117.214263,0.010288912667709276
1701563019.76,32.870081,-117.214263,0.010288912667709276
1701563019.96,32.870081,-117.214263,0.010288912667709276
1701563020.16,32.870081,-117.214263,0.010288912667709276
1701563020.36,32.870081,-117.214263,0.010288912667709276
1701563020.57,32.870081,-117.214263,0.015433369001563915
1701563020.76,32.870081,-117.214263,0.015433369001563915
1701563020.97,32.870081,-117.214265,0.15947814634949378
1701563021.16,32.870081,-117.214265,0.48357889538233595
1701563021.37,32.87008,-117.214265,1.450736686147008
1701563021.57,32.870076,-117.214265,2.006337970203309
1701563021.77,32.870073,-117.214265,2.942629022964853
1701563021.95,32.870066,-117.214265,3.724586385710758
1701563022.06,32.870063,-117.214265,3.925220182731089
1701563022.27,32.870055,-117.214265,4.753477652481686
1701563022.47,32.870046,-117.214265,5.411968063215079
1701563022.67,32.870036,-117.214265,6.209358794962548
1701563022.84,32.870023,-117.214265,7.05304963371471
1701563022.94,32.870018,-117.214265,7.202238867396494
1701563023.04,32.870011,-117.214265,7.680673306444975
1701563023.14,32.870003,-117.214265,8.102518725821055
1701563023.24,32.869996,-117.214265,8.421475018520043
