epoch[s],latitude[deg],logitude[deg],speed[m/s]
1699208120.13,32.870202,-117.214285,0.0
1699208120.18,32.870202,-117.214285,0.0
1699208120.24,32.870202,-117.214285,0.0
1699208120.29,32.870202,-117.214285,0.0
1699208120.34,32.870202,-117.214285,0.0
1699208120.4,32.870202,-117.214285,0.0
1699208120.45,32.870202,-117.214285,0.0
1699208120.5,32.870202,-117.214285,0.0
1699208120.56,32.870202,-117.214285,0.0
1699208120.61,32.870202,-117.214285,0.0
1699208120.66,32.870202,-117.214285,0.0
1699208120.72,32.870202,-117.214285,0.0
1699208120.77,32.870202,-117.214285,0.0
1699208120.82,32.870202,-117.214285,0.0
1699208120.88,32.870202,-117.214285,0.0
1699208120.93,32.870202,-117.214285,0.0
1699208120.98,32.870202,-117.214285,0.0
1699208121.04,32.870202,-117.214285,0.0
1699208121.09,32.870202,-117.214285,0.0
1699208121.14,32.870202,-117.214285,0.0
1699208121.2,32.870202,-117.214285,0.0
1699208121.25,32.870202,-117.214285,0.0
1699208121.3,32.870202,-117.214285,0.0
1699208121.36,32.870202,-117.214285,0.0
1699208121.41,32.870202,-117.214285,0.0
1699208121.46,32.870202,-117.214285,0.0
1699208121.52,32.870202,-117.214285,0.0
1699208121.57,32.870202,-117.214285,0.0
1699208121.62,32.870202,-117.214285,0.0
1699208121.68,32.870202,-117.214285,0.0
1699208121.73,32.870202,-117.214285,0.0
1699208121.78,32.870202,-117.214285,0.0
1699208121.83,32.870202,-117.214285,0.0
1699208121.89,32.870202,-117.214285,0.0
1699208121.94,32.870202,-117.214285,0.0
1699208122.0,32.870202,-117.214285,0.0
1699208122.05,32.870202,-117.214285,0.0
1699208122.1,32.870202,-117.214285,0.0
1699208122.16,32.870202,-117.214285,0.0
1699208122.21,32.870202,-117.214285,0.0
1699208122.26,32.870202,-117.214285,0.0
1699208122.32,32.870202,-117.214285,0.0
1699208122.37,32.870202,-117.214285,0.0
1699208122.42,32.870202,-117.214285,0.0
1699208122.48,32.870202,-117.214285,0.0
1699208122.53,32.870202,-117.214285,0.0
1699208122.58,32.870202,-117.214285,0.0
1699208122.63,32.870202,-117.214285,0.0
1699208122.69,32.870202,-117.214285,0.0
1699208122.74,32.870202,-117.214285,0.0
1699208122.79,32.870202,-117.214285,0.0
1699208122.85,32.870202,-117.214285,0.0
1699208122.9,32.870202,-117.214285,0.0
1699208122.95,32.870202,-117.214285,0.0
1699208123.01,32.870202,-117.214285,0.0
1699208123.06,32.870202,-117.214285,0.0
1699208123.12,32.870202,-117.214285,0.0
1699208123.17,32.870202,-117.214285,0.0
1699208123.22,32.870202,-117.214285,0.0
1699208123.28,32.870202,-117.214285,0.0
1699208123.33,32.870202,-117.214285,0.0
1699208123.38,32.870202,-117.214285,0.0
1699208123.44,32.870202,-117.214285,0.0
1699208123.49,32.870202,-117.214285,0.0
1699208123.54,32.870202,-117.214285,0.0
1699208123.6,32.870202,-117.214285,0.0
1699208123.65,32.870202,-117.214285,0.0
1699208123.7,32.870202,-117.214285,0.0
1699208123.76,32.870202,-117.214285,0.0
1699208123.81,32.870202,-117.214285,0.0
1699208123.87,32.870202,-117.214285,0.0
1699208123.92,32.870202,-117.214285,0.0
1699208123.97,32.870202,-117.214285,0.0
1699208124.03,32.870202,-117.214285,0.0
1699208124.08,32.870202,-117.214285,0.0
1699208124.13,32.870202,-117.214285,0.0
1699208124.19,32.870202,-117.214285,0.0
1699208124.24,32.870202,-117.214285,0.0
1699208124.29,32.870202,-117.214285,0.0
1699208124.35,32.870202,-117.214285,0.0
1699208124.4,32.870202,-117.214285,0.0
1699208124.45,32.870202,-117.214285,0.0
1699208124.51,32.870202,-117.214285,0.0
1699208124.56,32.870202,-117.214285,0.0
1699208124.61,32.870202,-117.214285,0.0
1699208124.67,32.870202,-117.214285,0.0
1699208124.72,32.870202,-117.214285,0.0
1699208124.77,32.870202,-117.214285,0.0
1699208124.83,32.870202,-117.214285,0.0
1699208124.88,32.870202,-117.214285,0.0
1699208124.93,32.870202,-117.214285,0.0
1699208124.99,32.870202,-117.214285,0.0
1699208125.04,32.870202,-117.214285,0.0
1699208125.09,32.870202,-117.214285,0.0
1699208125.15,32.870202,-117.214285,0.0
1699208125.2,32.870202,-117.214285,0.0
1699208125.25,32.870202,-117.214285,0.0
1699208125.31,32.870202,-117.214285,0.0
1699208125.36,32.870202,-117.214285,0.0
1699208125.41,32.870202,-117.214285,0.0
1699208125.47,32.870202,-117.214285,0.0
1699208125.52,32.870202,-117.214285,0.0
1699208125.57,32.870202,-117.214285,0.0
1699208125.63,32.870202,-117.214285,0.0
1699208125.68,32.870202,-117.214285,0.0
1699208125.73,32.870202,-117.214285,0.0
1699208125.79,32.870202,-117.214285,0.0
1699208125.84,32.870202,-117.214285,0.0
1699208125.89,32.870202,-117.214285,0.0
1699208125.95,32.870202,-117.214285,0.0
1699208126.0,32.870202,-117.214285,0.0
1699208126.05,32.870202,-117.214285,0.0
1699208126.11,32.870202,-117.214285,0.0
1699208126.16,32.870202,-117.214285,0.0
1699208126.21,32.870202,-117.214285,0.0
1699208126.27,32.870202,-117.214285,0.0
1699208126.32,32.870202,-117.214285,0.0
1699208126.37,32.870202,-117.214285,0.0
1699208126.43,32.870202,-117.214285,0.0
1699208126.48,32.870202,-117.214285,0.0
1699208126.53,32.870202,-117.214285,0.0
1699208126.59,32.870202,-117.214285,0.0
1699208126.64,32.870202,-117.214285,0.0
1699208126.69,32.870202,-117.214285,0.0
1699208126.75,32.870202,-117.214285,0.0
1699208126.8,32.870202,-117.214285,0.0
1699208126.85,32.870202,-117.214285,0.0
1699208126.91,32.870202,-117.214285,0.0
1699208126.96,32.870202,-117.214285,0.0
1699208127.01,32.870202,-117.214285,0.0
1699208127.07,32.870202,-117.214285,0.0
1699208127.12,32.870202,-117.214285,0.0
1699208127.17,32.870202,-117.214285,0.0
1699208127.23,32.870202,-117.214285,0.0
1699208127.28,32.870202,-117.214285,0.0
1699208127.33,32.870202,-117.214285,0.0
1699208127.39,32.870202,-117.214285,0.0
1699208127.44,32.870202,-117.214285,0.0
1699208127.49,32.870202,-117.214285,0.0
1699208127.55,32.870202,-117.214285,0.0
1699208127.6,32.870202,-117.214285,0.0
1699208127.65,32.870202,-117.214285,0.0
1699208127.71,32.870202,-117.214285,0.01
1699208127.76,32.870202,-117.214285,0.01
1699208127.81,32.870202,-117.214285,0.01
1699208127.87,32.870202,-117.214285,0.01
1699208127.92,32.870202,-117.214285,0.01
1699208127.97,32.870202,-117.214285,0.02
1699208128.02,32.870202,-117.214285,0.02
1699208128.08,32.870202,-117.214285,0.0
1699208128.13,32.870202,-117.214285,0.0
1699208128.18,32.870202,-117.214285,0.0
1699208128.24,32.870202,-117.214285,0.0
1699208128.29,32.870202,-117.214285,0.03
1699208128.35,32.870202,-117.214285,0.03
1699208128.4,32.870202,-117.214285,0.06
1699208128.45,32.870202,-117.214285,0.06
1699208128.51,32.870202,-117.214285,0.1
1699208128.56,32.870202,-117.214285,0.1
1699208128.61,32.870202,-117.214285,0.19
1699208128.67,32.870202,-117.214285,0.3
1699208128.72,32.870202,-117.214285,0.3
1699208128.77,32.870202,-117.214285,0.69
1699208128.83,32.870202,-117.214285,0.69
1699208128.88,32.8702,-117.214285,1.12
1699208128.94,32.8702,-117.214285,1.12
1699208128.99,32.870198,-117.214285,1.56
1699208129.04,32.870198,-117.214285,1.56
1699208129.1,32.870197,-117.214285,2.06
1699208129.15,32.870197,-117.214285,2.06
1699208129.2,32.870193,-117.214285,2.51
1699208129.26,32.870193,-117.214285,2.51
1699208129.31,32.87019,-117.214285,2.92
1699208129.36,32.870187,-117.214285,3.35
1699208129.42,32.870187,-117.214285,3.35
1699208129.47,32.870182,-117.214285,3.78
1699208129.52,32.870182,-117.214285,3.78
1699208129.58,32.870178,-117.214285,4.25
1699208129.63,32.870178,-117.214285,4.25
1699208129.68,32.870173,-117.214285,4.65
1699208129.74,32.870173,-117.214285,4.65
1699208129.79,32.870168,-117.214285,5.02
1699208129.84,32.870168,-117.214285,5.02
1699208129.9,32.870162,-117.214285,5.55
1699208129.95,32.870162,-117.214285,5.55
1699208130.0,32.870157,-117.214285,5.9
1699208130.06,32.870157,-117.214285,5.9
1699208130.11,32.87015,-117.214285,6.41
1699208130.16,32.87015,-117.214285,6.41
